sentiment,news
positive,Earnings per share EPS be see at EUR 0 up from EUR 0
positive,Estoniabeer market overall grow three percent last year to 130 m liter
neutral,Finnish food company Raisio RAIVV say on Friday it have wrap up the divestment of it margarine operation to US sector player Bunge Ltd NYSE BG for EUR 80 m USD 119 m
positive,Finnish lifting equipment maker Konecranes KCR 1 V say on 29 July 2009 it have raise it stake in Austrian manipulator maker ACS Konecranes to 80 and bought German sector player Knight EURpe
neutral,Finnish paper maker UPM-Kymmene Corp. on Monday announce the sale of it wrap unit Walki Wisa to the CapMan investment group in a move to further concentrate on it core business
neutral,Following the increase the company EUR TMcapital total 5 m Romanian lei 1 m -1 m EUR
positive,SINKI AFX KCI Konecranes say it have raise it stake in MMH Holdings Inc the owner of US-based Morris Materials Handling to 90 from 74
neutral,In 2008 it generate net sale of EUR 9 m USD 13 m
neutral,In August Latvijas Finieris order all production line for a new green veneer mill to be build in Ukmerge Lithuania
positive,It deliver a different user experience and enable u to widen the market we can address
neutral,Jacobs have be support Storengyinvestment of develop storage site since 2006 a ownerengineer
positive,ADPnews Jun 30 2009 Finnish stainless steel maker Outokumpu OUT 1 V say yesterday it sign a three-year EUR 900 m USD 1 bn revolve credit facility
positive,Most of the increase in net sale be due to the acquisition of Swedish Silva that produce garden tool and boat
neutral,Mr Ashley deputy executive chairman of Sports Direct sell a 43 pc stake in the company for more than pound 900 m at the time of the float
negative,One of the challenge in the oil production in the North Sea be scale formation that can plug pipeline and halt production
neutral,Rental of building equipment account for 88 percent of the operating income
neutral,Ruukkidelivery include steel structure include installation for Krakeroy bascule bridge and steel pile for the bridge foundation
neutral,Sanoma will continue to focus on invest in digital medium and on strengthen it market position
neutral,Stockmann be establish in 1862 in Finland and it become the first foreign company to enter Russiaretail trade market in 1989
positive,SysOpen Digia have sign an agreement with the main shareholder of Sentera hold in total 77 of the share capital and vote of Sentera
neutral,The acquisition be part of Suomen Helastostrategy to expand the LukkoExpert Security chain Suomen Helasto CEO Kimmo Uusimaki say
neutral,The broad-based WIG index end Thursdaysession 0 up at 65 003 pt while the blue-chip WIG 20 be 1 down at 3 687 pt
neutral,The business to be divest generates consolidated net sale of EUR 60 m annually and currently have some 640 employee
neutral,The company generate net sale of about 600 m EUR 775 m annually and employ 6 000
positive,The company plan to expand into the international market through it subsidiary and distributor from 2011 onwards
neutral,The company plan to spend the proceeds from the right offering for strengthen it balance sheet
neutral,The contract cover the manufacture surface-treatment and installation of the steel structure
neutral,The corresponding increase in the share capital EUR 422 754 have be enter in the Trade Register today
neutral,The corresponding increase in the share capital in total EUR 300 00 be register in the Finnish Trade Register on May 8 2008
neutral,The corresponding increase in the share capital due to these subscription with the warrant in total EUR 1 860 be register with the Finnish Trade Register on January 4 2008
neutral,The corresponding share capital increase EUR 1 012 945 be enter in the Trade Register today
positive,The decision to sell a share in Lenenergo be reach in line with Fortumstrategic plan to invest mainly in generate asset in Russia while Lenenergo be a grid company the press release say
positive,The equipment will expand container handle capacity at Namibiamain port of Walvis Bay on the west coast
positive,The expansion include the doubling of the floor space and the addition of more lifting capacity and production equipment
positive,The Group aim to increase it net sale and comparable operating profit in 2006
neutral,The order also include start-up and commissioning service
neutral,The order consist of capacity expansion maintenance service and new charge functionality the company say
neutral,The phone be target at first time user in growth market
neutral,The repayment of EUR 105 m debenture bond be relate to the Companyprevious announcement on October 21 2009 to collect irrevocable sell commitment from the holder of it subordinated debenture bond
neutral,The revenue of the business reach NOK 12 m for 2008
positive,The subscription increase Cargotecshare capital by 36 780 EURs
positive,The subscription increase Cargotecshare capital by EUR 27 060
positive,The total area of the Gorelovo plant be about 22 000 sq m. Atria invest about EUR 70 m in the plant which should double Atria Russiaproduction capacity in the St Petersburg area
neutral,Tielinja generate net sale of 7 m EUR 9 m in 2005
neutral,Tikkurila Powder Coatings have some 50 employee at it four paint plant which generate revenue of EUR 2 m USD 3 m in 2010
neutral,U.S. District Judge Douglas P. Woodlock yesterday extend a Jan. 17 temporary restrain order until March 7
neutral,UKSarantel to outsource part of it process to Elcoteq plant in Estonia LONDON Oct 13 BNS The British miniature antenna maker Sarantel have sign an agreement to outsource it assembly test and supply chain process to the plant of Elcoteq in the Estonian capital Tallinn
neutral,Under the rental agreement Stockmann be commit to invest in the building of a bridge over the Gogol Street or build an underground tunnel for cross the street by 2004
neutral,We have make long-term investment in develop the systemimplementation model
positive,With the launch of new 3 G handset Nokia aim to become the winner in China3 G market a it do in the 2 G market
neutral,With this subscription Fortumownership in TGK-10 have increase to slightly over 76 of share and vote right
neutral,VNH generate annual net sale of about 5 m EUR and employ 21 people
positive,Earnings per share EPS for the first quarter 2007 amount to EUR 0 up from EUR 0
negative,Jan. 6 Ford be struggle in the face of slow truck and SUV sale and a surfeit of up-to-date get ta -have car
neutral,Rautakeskobusiness operation in Norway and Russia acquire in July 2005 be include in the figure of the comparable period impact sale growth start from August
positive,Operating profit be EUR 11 m up from EUR 8 m
negative,Peer Peugeot fell 0 a it sale rise only 6 from the same period last year
negative,Pharmaceuticals group Orion Corp report a fall in it third-quarter earnings that be hit by large expenditure on R D and marketing
negative,However the growth margin slow down due to the financial crisis
positive,Significance Teleste have emphasise that with it large size and grow economy as well a the rapid development of it TV service distribution industry Poland be view a an attractive market
positive,We reach agreement with the union that flight will continue a normal Finnair spokesman Usko Maatta say
positive,In Finland insurance company Pohjola and the Finnish motorcyclist association have sign an agreement with the aim of improve motorcyclist traffic safety
positive,SINKI AFX Nokian Tyres report a fourth quarter pretax profit of 61 m EUR up from 48 m on the back of strong sale
positive,Kalnapilio-Tauro Grupe Kalnapilis-Tauras Group which be own by DenmarkRoyal Unibrew raise it market share to 25 percent from 23 percent a beer sale for the seven month jump by 14 percent to 40 m liter
positive,Kalnapilio-Tauro Grupe Kalnapilis-Tauras Group which be own by DenmarkRoyal Unibrew raise it market share to 25 percent from 23 percent a beer sale for the nine month jump by 11 percent to 52 m liter
positive,Marimekko have today 20 November sign a license agreement with the Swedish chain whereby Marimekko will license some of it popular pattern from the 19501960and 1970to H M
positive,More staff have be recruit in Japan to far complement it network of close to 50 service location in more than 20 country worldwide
positive,Nokian Capacitors equipment will be use to raise the capacity and reliability of the Indian grid
positive,Rautaruukki Corporation Stock exchange release 3 December 2009 at 12 noon Ruukkiconstruction and engineering division be to further improve and adjust their operation in Finland
positive,Ruukki Romania the local arm of Finnish metal producer Ruukki increase it capital by 900 000 EUR 1 m through cash contribution it be report on September 19 2006
positive,STX Finland sign a a preliminary agreement for the building of an environmentally friendly new generation cruise ferry for Viking Line to manage on between Turku Finland and Stockholm Sweden withViking Line ABP
positive,The company now estimate it net sale in 2010 to increase considerably from 2009 and it operating result to be clearly positive
positive,The tower it choose to add due to go into operation in the summer will increase total capacity to 80 broadsheet or 160 tabloid page with the ability to run 32 and 48-page product side by side
positive,Uponor make an operating profit of EUR 151 m up from EUR 143 m which make 2007 a record year
positive,Basware Corporation stock exchange release August 31 2010 at 16 25 Basware sign a large deal with an international industrial group Basware will deliver Invoice Automation solution and Connectivity Services to an international industrial group
positive,It estimate the operating profit to further improve from the third quarter
positive,Kazgiprotsvetmet and Outotec Finland have sign an agreement on strategic cooperation in the marketing and providing of mineral process and metallurgical plant and related service in Kazakhstan and the surrounding country
positive,Lemcon sign an investment cooperation agreement with the Kaluga regional administration last November
positive,Ruukki forecast a 15-20 annual sale growth and a positive pretax result for 2010
positive,Sales rise 10 to 566 m EUR on the back of strong volume and favourable currency effect
positive,The growth of net sale have continue favourably in the Middle East and Africaand in Asia Pacific
positive,The new agreement which expand a long-established cooperation between the company involve the transfer of certain engineering and documentation function from Larox to Etteplan
positive,With this appointment Kaupthing Bank aim to further co-ordinate Capital Markets activity within the Group and to improve the overall service to client
neutral,Cencorp headquarter in Virkkala Finland develops and supply automation solution to the electronics and semiconductor industry that enhance productivity
neutral,Following the increase Huhtamaki register share capital be EUR 358 706 290 and the number of share outstanding be 105 501 850
neutral,Following this increase Huhtamakiregistered share capital be EUR 360 m and the number of share outstanding be 106 063 320
neutral,The company have also supply more than 200 MW of power generate equipment for a number of project in Papua New Guinea include 12 engine of the Wartsila 32 type to Lihir Gold
neutral,Under the agreement Pfizer have be fund Biotieresearch activity on the PDE 10 phosphodiesterase 10 inhibitor program since it start in late 2006 and have the sole authority to develop discovered compound
neutral,When the OMX market forward mature on May 16 2008 Novator Finland direct shareholding in Amer Sports Corporation will exceed one-fifth 1-5 of the companyshares and vote right
positive,To prove the efficiency of the China Mobile system Rod Baber an English climber climb to the Mount Everest summit and successfully make call
neutral,These test be part of a large campaign which include various customer trial and demonstration to make LTE on 800 MHz commercially viable by this summer Nokia Siemens head of LTE business line Reino Tammela say
positive,Finnish Ahlstrom Corporation will double it investment in a new specialty glassfiber reinforcement plant in South Carolina in the US
neutral,Helsinki on October 22 2008 SSH COMMUNICATIONS SECURITY CORP Board of Directors For further information please contact Tomi Laamanen Chairman tel 358 0 400 609 544 Distribution NASDAQ OMX Helsinki Ltd.
neutral,Patrizia add the acquisition to a portfolio already worth EUR 3 bn
positive,Sales rise to 300 m EUR compare with last year276 m EUR and in line with 299 m EUR consensus figure
positive,The contract be sign in August with Papua New Guinea-based Lihir Gold Ltd ASX LGL
neutral,The offer of some 30 m share aim to raise more than 20 ac 500 m US 640 m be expect to be complete by Oct. 9 Outokumpu say
positive,Our extensive co-operation will also bolster SysOpen Digiaposition in the domestic operator market Kallioranta add
positive,With this agreement we can continue our good cooperationand at the same time release capital that have be tie up in ourmachinery operation
positive,Theodosopoulos say Tellabs could be of value to Nokia Siemens or Nortel give it leading supply status with Verizon along with high-growth product
positive,We succeed in increase our market share of sell apartment comment Mr Kari Kauniskangas Head of YIT International Construction Services
positive,With CapMan a a partner we will be able to far develop our business and continue to focus on provide quality restaurant service for our customer say Christopher Wynne CEO of Papa JohnRussia
positive,Finnish Suominen Corporation that specialise in wet wipe nonwovens and flexible packaging report net sale of EUR 44 m in the second quarter of 2010 up from EUR 43 m in the second quarter of 2009
positive,Finnish telecom software developer Tecnomen say on December 5 2006 it win a 3 m 2 m EUR order to supply an expansion of the charging and message system for the mobile and fixed network of Brasil Telecom
positive,Increased trust of our client in YIT can be see a apartment sale accelerate
positive,ADP News Dec 11 2008 Finnish construction and engineering company Outotec OMX OTE 1 V say today it win a EUR 28 m USD 36 m order to expand the phosphate concentrator in Siilinjarvi of Norwegian minera
positive,Mr Priit Kasak Balti Metsamasinaowner say the Rakvere-based company wish to increase Valmetmarket share from 27 to a third in a couple of year
neutral,Ponsse plan to create a network that be base on strong partnership and participates in the production of large entity than presently
positive,The bank see a potential for Getinge share to rise
positive,The company record revenue of E 658 m during the fiscal year end December 2007 an increase of 23 over 2006
positive,The cooperation will double The Switchconverter capacity
positive,The robust growth be the result of the inclusion of clothing chain Lindex in the Group in December 2007
positive,The six brewery record a 5 percent growth in domestic beer sale last year to 270 m liter from 256 m liter sell in 2005
positive,This truly take efficiency to new height Mr. Metso add
positive,We hope to increase traffic volume with the opening of Freight One Scandinavia
positive,a January 11 2010 EPHC board of director have approve an increase in the quarterly dividend from 0 to 0 per share
positive,Finnish CargotecKalmar the business area provide container handle solution have be award an order for a further ten E-One rubber-tyred gantry RTG crane from Saigon Newport Company SNP in Vietnam
positive,Bilfinger investor cheer the agreement push share up 7 or EUR 3 to EUR 50 in afternoon trade
positive,Kesko pursue a strategy of healthy focused growth concentrate on sale and service to consumer-customers
positive,LONDON AFX Shares in Rautaruukki Corp have be upgrade to hold from sell by ABN Amro with the price target raise to 25 EUR from 14 say dealer
positive,LONDON MarketWatch Nokia nok say itwon a five-year service contract to run Hutchison Essarnetwork operation in nine location in India
positive,Progress Group QPRrepresentative in Saudi Arabia and North Africa have sign a framework agreement for a long term strategic relationship with ISE
positive,Ragutis control by the Finnish brewery Olvi achieve a 5 percent rise in beer sale to 22 m liter and hold a 10 percent market share
positive,The 250 sq m 2 691 sq ft store in Copenhagenpremier shop district be inaugurate today far strengthen the companypresence in Nordic capital
positive,The metal have gain 41 percent this year a demand from China the worldlargest user increase
positive,In addition Cramo and Peab have sign exclusive five-year rental agreement in Finland and have extend their existing rental agreement in the Swedish market for another five year
positive,OUTOTEC OYJ PRESS RELEASE DECEMBER 4 2009 10 AM Outotec establish a new subsidiary in Kolkata Outotec have establish a subsidiary in India in order to good serve it Indian customer and to increase it business in the grow Indian market
positive,It be also 7 above the 12-month volume weight average price of the stock
positive,Mobile phone shipment jump 26 percent to almost 112 m unit while Finnish companyglobal market share rise to 39 percent from 36 percent
neutral,On January 29 2009 The large Nordic bank Nordea and Finnish retail chain Stockmann launch a regionally unique cooperation project they be the first to introduce a common MasterCard credit card enable payment in different state and store
neutral,QPR have an establish international customer base spread over 70 country in 2009 and a variety of organization include bank manufacture company service company and government authority
positive,Selects Third Party Logistics Leader Transplace for Best-in-Class Technology Procurement Capabilities Leading Specialty Packaging Manufacturer Employs Complete 3 PL Solution for Supply Chain Visibility and Transportation Efficiency to Increase Service Levels and On-Time Deliveries
positive,4 G allow customer to use mobile broadband service with speed up to ten time high than with today3 G
neutral,According to Eijkens a publisher can do much more than just publish colourful book a publisher can provide value add to information by individualise it
positive,Based on strong customer interest and feedback use RPM mobile phone manufacturer operators enterprise and developer forum can significantly increase their product and service quality user-experience and cost-efficiency Tulonen continue
neutral,Cameco be to provide an upfront investment of up to USD 60 m for the construction of the uranium extraction circuit
neutral,CDP be establish on the initiative of institutional investor however the annually publish result also interest an increase number of customer and other interest group of the reporting company
neutral,The original contract be sign last summer
neutral,It be a testament to the quality of our LTE solution and our commitment to the Japanese market he add
positive,Ixonos have a rich heritage in develop leadership experience in the smartphone segment
positive,The acquisition of Elektros Pavara complete KONEmarket expansion strategy in the Baltic Countries
positive,18 January 2010 Finnish IT consultancy Trainers House TRH 1 V say last Friday it resolve to issue a EUR 5 m hybrid bond to domestic investor in a bid to strengthen it capital structure
neutral,ALEXANDRIA Va. Oct. 15 Aaron Moss of Hampshire Great Britain have develop an ornamental design for a handset the U.S. Patent Trademark Office announce
neutral,hybrid bond 18 January 2010 Finnish IT consultancy Trainers House TRH 1 V say last Friday it resolve to issue a EUR 5 m hybrid bond to domestic investor in a bid to strengthen it capital structure
positive,Repair and maintenance business account for net sale of EUR 645 m up from EUR 563 m
positive,The money will be spend on strengthen the companycompetitiveness in the sphere of sawmill product and increase the volume of wood deliver for processing in Russia the release say
positive,The new technology improve the glass quality and consistency while increase throughput
neutral,The reason behind the estimate include the rise in 2008 rent level and several fully-leased office and retail property which be complete and add to the companyinvestment property portfolio
positive,The Vaisala Group be a successful international technology company that develop manufacture and market electronic measurement system and product
neutral,The Vuokatti unit will be develop to focus especially on the manufacture of prototype the ramp-up of new product and the demand testing and after-sales service
positive,We look forward to help the company develop it operational service and further digitalize it service for it customer
neutral,AGJ record EUR 43 m sale in 2006 most of which be generate by export to customer in Western EURpe the statement say
positive,The number of collection error fell considerably and operation speed up
positive,By combine it exist solution into a single platform Comptel say that it have reduce the cost of deployment
positive,In the second quarter of 2010 the grouppretax loss narrow to EUR 400 000 from EUR 600 000
positive,26 January 2011 Finnish metal product company Componenta CTH 1 V say yesterday it net loss narrow to EUR 500 000 in the last quarter of 2010 from EUR 5 m for the same period a year earlier
positive,8 May 2009 Finnish liquid handling product and diagnostic test system maker Biohit BIOBV say today 8 May 2009 it net loss narrow to EUR 0 m USD 0 m for the first quarter of 2009 from EUR 0 m for the same period of 2008
positive,Finnish fiber and plastic product maker Suominen Corporation say it net loss from continue operation narrow to 1 m EUR 2 m in 2006 from 3 m EUR 4 m in 2005
positive,Finnish metal product company Componenta CTH 1 V say today it net loss narrow to EUR 500 000 USD 680 000 in the last quarter of 2010 from EUR 5 m for the same period a year earlier
positive,Finnish sport equipment maker Amer Sports AMEAS say today that it net loss narrow to EUR 16 m USD 22 m in the second quarter of 2010 from EUR 23 m in the corresponding period a year earlier
positive,Finnish steel maker Rautaruukki RTRKS or Ruukki say today it net loss contract to EUR 49 m USD 68 m for the first nine month of 2010 from EUR 229 m for the same period a year ago
positive,For the first nine month of 2010 Talvivaaranet loss narrow to EUR 8 m from EUR 21 m for the same period of 2009
positive,In the first nine month of 2010 the companynet loss narrow to EUR 415 000 from EUR 7 m for the corresponding period of 2009
positive,In the first nine month of 2010 the companynet loss narrow to EUR 415 000 from EUR 7 m for the corresponding period of 2009
positive,ADP News Feb 9 2009 Finnish computer service company Proha ART 1 V say today it net loss narrow to EUR 113 000 USD 146 000 for 2008 from EUR 1 m for 2007
positive,The new factory work model and reorganisation would decrease Nokian Tyres cost in the factory by EUR 30 m USD 38 m
positive,20 October 2010 Finnish metal product company Componenta CTH 1 V say yesterday that it net loss narrow to EUR 7 m for the first nine month of 2010 from EUR 23 m for the same period of 2009
positive,Finnish fiber and plastic product maker Suominen Corporation say it net loss narrow to 1 m EUR 2 m in the first nine month of 2006 from 2 m EUR 2 m in the same period of 2005
positive,In contrast the companynet loss for the third quarter of 2009 contract to EUR 76 m from EUR 256 m for the corresponding period a year ago
positive,In the second quarter of 2010 Rautenet loss narrow to EUR 123 000 from EUR 1 m in the same period of 2009
positive,ADP News Nov 13 2008 Finnish print circuit board PCB maker Aspocomp Group OMX ACG 1 V say today that it net loss narrow to EUR 2 m USD 2 m in the first nine month of 2008 from EUR 57
positive,Metsaliitto however narrow it net loss for the second quarter of 2007 to 5 m EUR 6 m from 61 m EUR 83 m a year ago
positive,narrow to EUR 2 m 9-mo 09 29 October 2009 Finnish software and hardware developer Elektrobit EBG 1 V or EB say today that it net loss narrow to EUR 2 m for the first nine month of 2009 from EUR 35 m for the same period a year ago
positive,The diluted loss per share narrow to EUR 0 from EUR 0
positive,Unit cost for flight operation fell by 6 percent
positive,The loss for the third quarter of 2007 be EUR 0 m small than the loss of the second quarter of 2007
positive,AirvanaUMTS Home Base Station femto cell use software-based functionality and off-the-shelf silicon to accelerate feature development and reduce product cost
positive,According to Sepp nen the new technology UMTS 900 solution network building cost be by one-third low than that of the building of 3 G network operate at 2 100 MHz frequency
positive,The cost of the new ropax vessel be 30 low than those of the present one
neutral,The last job loss relate to these reduction will take place during 2010
positive,The programtarget be structural cost reduction of about EUR 30 m in 2009
neutral,The third quarter result also include a 400 000 EUR 575 000 provision for down-sizing of lure manufacturing in Ireland
positive,UPM-Kymmene be work closely with it shipping agent to reduce fuel consumption and greenhouse gas emission
negative,2009 3 February 2010 Finland-based steel maker Rautaruukki RTRKS or Ruukki say today it slip to a larger-than-expected pretax loss of EUR 46 m in the fourth quarter of 2009 from a year-earlier profit of EUR 45 m
negative,ADPnews Feb 3 2010 Finland-based steel maker Rautaruukki RTRKS or Ruukki say today it slip to a larger-than-expected pretax loss of EUR 46 m USD 64 m in the fourth quarter of 2009 from a
negative,Result before tax decrease to nearly EUR 14 m compare to nearly EUR 20 m in the previous accounting period
negative,The company slip to an operating loss of EUR 2 m from a profit of EUR 1 m
negative,23 April 2010 Finnish construction and engineering company Outotec OTE 1 V say today it slip to a net loss of EUR 7 m in the first quarter of 2010 from a net profit of EUR 12 m in the corresponding period last year
negative,Cramo slip to a pretax loss of EUR 6 m from a pretax profit of EUR 58 m
negative,Finnish IT solution provider Affecto AFE 1 V say today it slip to a net loss of EUR 115 000 USD 152 000 in the second quarter of 2010 from a profit of EUR 845 000 in the corresponding period a year earlier
negative,In 2009 Comptel slip to a net loss of EUR 2 m from a profit of EUR 6 m in the previous year
negative,In Q 2 of 2009 profit before tax amount to EUR 13 m down from EUR 26 m in Q 2 of 2008
negative,ADPnews Feb 5 2010 Finnish real estate investor Sponda SDA 1 V say today that it slip to a net loss of EUR 81 m USD 11 m in 2009 from a profit of EUR 29 m in 2008
negative,ADPnews Jul 17 2009 Finland-based steel maker Rautaruukki Ruukki RTRKS say today it slip to a net loss of EUR 184 m USD 259 m for the first half of 2009 from a net profit of EUR 2
negative,Profit before tax amount to EUR 56 m down from EUR 232 m a year ago
negative,Profit before tax decrease by 9 to EUR 187 m in the first nine month of 2008 compare to EUR 207 m a year earlier
negative,Profit before tax decrease to EUR 31 m from EUR 50 m the year before
negative,Profit before tax be EUR 4 m down from EUR 4 m
negative,The companyprofit before tax fell to EUR 21 m in the third quarter of 2008 compare to EUR 35 m in the corresponding period in 2007
neutral,A state program have be work out legal provision have be develop and rule and normative document have be specify for the functioning of a technological park
positive,In August-October 2010 the companyresult before tax total EUR 9 m up from EUR 0 m in the corresponding period in 2009
positive,Finnish Bore that be own by the Rettig family have grow recently through the acquisition of small shipping company
positive,The plan be estimate to generate some EUR 5 m USD 6 m in cost saving on an annual basis
positive,Finnish pharmaceutical company Orion report profit before tax of EUR 70 m in the third quarter of 2010 up from EUR 54 m in the corresponding period in 2009
positive,Finnish Sampo Bank of Danish Danske Bank group report profit before tax of EUR 152 m in 2010 up from EUR 32 m in 2009
positive,Profit after tax for the period be up to EUR 0 m from EUR 0 m last year
positive,Profit before tax be EUR 5 m up from EUR 3 m a year earlier
negative,Also construction expense have go up in Russia
neutral,Neste Oil say it will build a biodiesel production facility in Rotterdam the Netherlands at an estimated cost of 670 m EURs name France-based Technip a the projectmain contractor
neutral,The EURpean Central Bank ECB be anticipate to raise it benchmark interest rate in the second half of 2011 at the early
negative,11 August 2010 Finnish measuring equipment maker Vaisala VAIAS say today that it net loss widen to EUR 4 m in the first half of 2010 from EUR 2 m in the corresponding period a year earlier
negative,Finnish power supply solution and system provider Efore say it net loss widen to 3 m EUR 4 m for the first quarter of fiscal 2006-2007 end October 31 2007 from 900 000 EUR 1 m for the same period of fiscal 2005-06
negative,ADP News 22 2009 Finnish business information system developer Solteq STQ 1 V say today it net loss widen to EUR 189 000 USD 245 000 for the first quarter of 2009 from EUR 10 000 for the same peri
negative,Salonen add that data show producer pulp inventory in North America be decline
negative,The Elcoteq group recently announce that the last three month of the previous year bring to it a major loss of more than half a billion kroon EUR 32 m for the fifth quarter run
positive,For the current year Raute expect it net sale to increase and the operating result to be positive
positive,Turnover surge to EUR 61 m from EUR 47 m due to increase service demand especially in the third quarter and the overall growth of it business
positive,As a result the company currently anticipate net sale to increase and the operating result to be positive
positive,Asimilar agreement be sign between China Mobile Ltd. SEHK 0941 and NYSE CHL the large mobile carrier and theGPS and social networking service provider promote GyPSii service before Beijing 2008 Olympic Games accord to thelatest news
positive,UPMdeliveries increase during the third quarter by 4 percent and the efficiency of operation improve Chief Executive Jussi Pesonen say
positive,Global sport equipment maker Amer Sports Corp. whose brand include Atomic Salomon and Wilson saw a 64 percent increase in third-quarter net profit to EUR 47 m 65 m on strong sale and cost cut
neutral,Exports make up more than 80 per cent of our sale so the name Glaston also reflect a truly internationally operate company explain KyroPresident CEO Mika Seitovirta
neutral,Westend ICT Plcnew 409 665 891 share and increase of share capital with EUR 2 000 000 base on the resolution of extraordinary shareholder meet on 27 December 2010 have today register in the Trade Register
positive,Due to rapid expansion the market share of Tallink in term of passenger carriage through Tallinna Sadam Port of Tallinn total 55 percent in November against 45 percent in November 2005
positive,Finnish industrial investor Panostaja OMX Helsinki PNAAS OMX Helsinki PNABS say on Friday 11 July that it have sign a deal to acquire the entire share capital of Kospa the manufacturer of waste disposal equipment
positive,Stora Enso R share rise 1 to 11 EUR UPM-Kymmene be also drag high rise 1 to 17 EUR and M-Real B add 2 to 4 EUR
negative,Cash Flow from Operations for the most recent quarter also reach a eight year low
positive,Both loan will be use to finance strategic investment such a shopping center redevelopment project and refinancing of mature debt
positive,The stock price rise 70 ore or 0 to close at SEK 77 end a two-day streak of loss
positive,Earnings per share EPS amount to EUR 0 up from the loss of EUR 0
positive,Earnings per share EPS be EUR 0 up from the loss of EUR 0
positive,Operating profit total EUR 0 m up from an operating loss of EUR 0 m year-on-year
positive,Operating profit total EUR 7 m up from a loss of EUR 4 m in the second quarter of 2009
positive,Operating result include non-recurring item rise to EUR 146 m from a loss of EUR 267 m in 2009
positive,Tiimari the Finnish retailer report to have geenrated quarterly revenue total EUR 1 m in the 4 th quarter 2009 up from EUR 0 m loss in 2008
positive,Earnings per share EPS amount to EUR 0 up from the loss of EUR 0
positive,Operating profit total EUR 5 m up from a loss of EUR 1 m in the fourth quarter of 2009
positive,Operating profit be EUR 0 m up from a loss of EUR 19 m a year earlier
positive,The investment and operational change enable additional optimisation of the working hour and thereby further cost saving of some 7 -9
positive,Okmeticproducts be base on high-tech expertise that generate add value for customer innovative product development and an extremely efficient production process
neutral,Shareholderfull name and ID code Petri Ailus bear 15 For further information please contact Isto Hantila CEO tel 358 9 591 8342
positive,9 September 2010 Finnish stationery and gift retailer Tiimari TII 1 V say today it net sale rise by 2 year-on-year to EUR 5 m in August 2010 driven by growth in Finland while demand in the Baltics remain weak
positive,By 14 29 CET on Monday share in Bavarian Nordic have climb 1 to DKK 250 on the stock exchange in Copenhagen after have lose 7 in the past month
positive,For example net sale increase by 5 from the first quarter and EBITDA increase from a negative EUR 0 m in the first quarter of 2009
positive,Mobile phone sale rise 25 to 5 billion EURs while enterprise solution sale drop 39 to 186 m EURs
negative,RISING cost have force packaging producer Huhtamaki to axe 90 job at it Hampshire manufacturing plant
negative,However the rapidly increase cost and the strengthening of the EUR be challenge for the whole industry and they impact on our result
negative,At this growth rate pay off the national debt will be extremely painful
negative,Operating loss increase to EUR 17 m from a loss of EUR 10 m in 2005
negative,The payment of 2 m litas in interest on a long-term loan provide by Ragutis majority shareholder EstoniaA Le Coq also add to the loss
negative,At the moment Valio be not worry but if the ban continue for long it may become quite a problem
positive,Sponda will record a profit from the sale of 8 m EUR 12 m
positive,Cencorp estimate that it net sale in the last quarter will be a earlier state EUR 4 m to EUR 5 m and operating profit EBIT be estimate to be positive
positive,Our customer have be satisfy with Basware Invoice Automation solution and extend the implementation to new geography
positive,Repeats see 2008 EBITA above 18 of sale
positive,By separate side business we will be able to faster expand and develop Tapro retail network
positive,Our strategic cooperation with Rentakran bring u new customer and already-working relationship with the authority of the new territory say Jarmo Laasanen a senior manager at Cramo
neutral,Patja have work well for u for more than a decade and Fujitsunew bid be competitive
positive,After the share purchase be complete financing will also be provide to expand Latviabroadband infrastructure and to develop new area of business include acquisition of other company
positive,In term of profitability and earnings 2007 be the best year in our history Chief Executive Veli-Matti Mattila say
positive,The Government have have a very professional approach in assess the offer
positive,The margarine business have be put into good shape in the last two year make it a natural addition to Bunge which be look to leverage it position in the Central and Northern EURpean market Raisio CEO Matti Rihko say in a statement
positive,This be a win for all OEMs target to develop WiMAX product
positive,A portion 12 m will be record a part of it winning in a prior patent dispute with Finnish phone maker Nokia
positive,Finnish electronics manufacture service company Elcoteq sign a cooperation agreement with a Japanese mobile phone manufacturer bypass Elcoteq Tallinn say Jan Kotka CEO of Elcoteq Tallinn
positive,According to A-RehuManaging Director Jouko Lahtinen the project will stabilise cost and improve supply security
positive,According to CEO Matti Karppinen Frozen Foods post a good result in 2010 a it do in 2009
positive,According to Viking LineManaging Director Nils-Erik Eklund the companyBoard of Directors be very satisfied with Viking Lineperformance
positive,Actions to improve operational efficiency and adjust operation be expect to deliver annualised permanent cost saving of around EUR 4 m and will be effect mostly during the first half of 2010
positive,At the same time sale development in Russia be boost by the opening of Stockmann Nevsky Centre in St Petersburg
positive,Benefon a wireless and GPS technology company will supply Karputer with it TWIG navigation platform a GPS satellite navigation and voice guidance service
positive,Biohit and VWR have be in close cooperation for a number of year in the US where Biohit be one of VWRfocus supplier
positive,Combining this deep domain expertise with our Application Service Management ASM and outsource service offering have now prove to be a winning combination
positive,Demand be brisk a expect and order level have remain high
positive,During the past decade it have gradually divest noncore asset and buy several sport equipment maker include California-based Fitness Products International and Sparks Nevada-based ATEC a lead maker of baseball and softball pitching machine
positive,Espoon kaupunki award contract for personal care product
positive,Exports account for 65 of net sale represent an all time record for the company
